ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_613,33.394597900511634,-7.815415308162997,2.4613671905539274,-3.1752333979897363,0.0014971602642537833,0.01405398828702745,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_17,57.05449809576302,-8.92800514610555,2.827712733210638,-3.1573239534726447,0.001592243475352366,0.014709296867540904,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Pelagibacterales,Clade II_2,Incertae Sedis_803,NA,Enriched at bottom,TRUE
ASV_186,86.58256972455794,-8.551996437533656,2.7372143903202892,-3.1243429333764983,0.0017820263280481714,0.01596534227960185,Bacteria,Pseudomonadota,Gammaproteobacteria_2,UBA10353 marine group_2,Incertae sedis (Pseudomonadota),Incertae Sedis_971,NA,Enriched at bottom,TRUE
ASV_195,31.109166457658795,-7.662888295540601,2.452775299211544,-3.1241705255283154,0.0017830708731514093,0.01596534227960185,Bacteria,Cyanobacteriota,Cyanobacteriia_2,Synechococcales_2,Cyanobiaceae_2,Synechococcus CC9902_2,NA,Enriched at bottom,TRUE
ASV_276,71.16274911073187,-8.288429023872428,2.707032738441063,-3.061813367150337,0.0022000057663857,0.019400050849037533,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Sphingomonadales_2,Sphingomonadaceae_2,NA,NA,Enriched at bottom,TRUE
ASV_216,76.75246294965692,-8.23287480932629,2.7278983149101297,-3.0180284816069185,0.0025442499142377967,0.022100797762483547,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,NA,Enriched at bottom,TRUE
ASV_289,62.08456202409518,-8.870126927145797,2.968543334244335,-2.9880402367121772,0.00280772587368039,0.024030830271793924,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,NA,Enriched at bottom,TRUE
ASV_475,43.75592987777059,-8.407290214373614,2.827871839526431,-2.973009631080572,0.0029489519792137097,0.02417309932256872,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_639,27.34470879980104,7.650852340825763,2.5717583135123636,2.9749499790190845,0.002930363267055996,0.02417309932256872,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at top,TRUE
ASV_268,69.47566754360142,-7.323303283982703,2.4610238611423325,-2.975714051217467,0.002923072776586816,0.02417309932256872,Bacteria,Pseudomonadota,Gammaproteobacteria_2,EPR3968-O8a-Bc78_2,Incertae sedis (Pseudomonadota),Incertae Sedis_900,NA,Enriched at bottom,TRUE
ASV_384,52.58581535667115,-7.0559725923542604,2.385018332591381,-2.9584563338294227,0.0030918404271640387,0.024992376786242648,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_559,34.90179289371174,8.980687064660863,3.047323516354731,2.947073724355903,0.0032079671047097035,0.025200474249516425,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales_2,DEV007_2,Incertae Sedis_1063,NA,Enriched at top,TRUE
ASV_445,39.520215544803975,-8.000414157571477,2.718191327384716,-2.9432858816708114,0.0032474837950407765,0.025200474249516425,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_205,85.33367414229373,-6.749596433810353,2.291603494032783,-2.9453596363358465,0.003225794737815777,0.025200474249516425,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Hyphomicrobiales,Hyphomicrobiaceae_2,Incertae Sedis_777,NA,Enriched at bottom,TRUE
ASV_292,55.95689599957336,-7.953754629982148,2.7108052884557314,-2.9340929294531426,0.00334524034756229,0.025617498451069115,Bacteria,Acidobacteriota,Subgroup 22,Incertae Sedis_29,Incertae sedis (Acidobacteriota),Incertae Sedis_110,NA,Enriched at bottom,TRUE
ASV_581,37.09255565715588,-8.261162933112452,2.8296848699570694,-2.9194639377768543,0.0035063396051932534,0.02650246298990225,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_236,86.14684543143895,-8.785635998320675,3.0231419632704792,-2.9061275008125143,0.0036593230712196048,0.026842972020530452,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
