	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_228	0	0	0	0	0	0	0	455	0	80	34	167	0	0	0	0	0	0
ASV_229	0	0	0	115	0	0	0	0	0	0	0	0	0	0	157	113	340	0
ASV_230	0	0	0	0	218	0	86	28	0	77	0	78	188	44	0	0	0	0
ASV_231	0	0	0	0	0	315	0	297	0	99	0	0	0	0	0	0	0	0
ASV_232	0	0	0	0	0	158	151	163	0	0	117	0	122	0	0	0	0	0
ASV_233	0	0	0	0	65	0	0	199	85	75	0	203	79	0	0	0	0	0
ASV_234	0	0	0	0	129	0	34	55	0	174	67	0	244	0	0	0	0	0
ASV_235	0	0	0	0	0	293	0	278	0	0	0	132	0	0	0	0	0	0
ASV_236	34	0	0	0	236	0	0	0	0	0	229	0	202	0	0	0	0	0
ASV_237	83	0	0	0	0	115	24	9	6	227	38	31	58	104	0	0	0	0
ASV_238	0	0	0	0	0	0	233	310	0	0	0	151	0	0	0	0	0	0
ASV_239	0	0	0	132	20	0	0	27	0	0	0	0	0	0	194	194	126	0
ASV_240	0	0	0	0	105	113	0	0	431	0	43	0	0	0	0	0	0	0
ASV_241	0	0	0	0	50	0	151	0	0	153	249	0	88	0	0	0	0	0
ASV_242	34	0	0	0	128	0	74	0	132	78	100	0	141	0	0	0	0	0
ASV_243	74	0	0	146	0	0	0	0	0	0	0	0	17	0	83	120	246	0
ASV_244	0	0	0	0	122	358	0	0	94	0	45	0	64	0	0	0	0	0
